TIME  dummy   g10    g20   g30   h11    g11   g21    g31   h21    h22   g22  g32    h31   h32    h33     g33
  794.474792         0.00    31291.25      154.24     -111.50      -57.22    -1057.74      538.77       59.12     -226.20       68.64     -289.62      101.76      -10.19     -104.16       46.98      -70.78
  794.247437         0.00    37779.52      836.98     -562.17      191.30    -5409.67     2735.40      317.27    -1137.30      495.36    -1409.07      518.53      -69.47     -524.16      271.16     -324.36
  794.020020         0.00    33758.01      793.96     -312.32     1746.22    -4013.06     1606.71      291.68     -617.66      847.92     -809.85      312.91     -110.49     -286.66      305.10     -117.16
  793.792603         0.00    34042.07      859.09     -348.68      461.24    -4545.83     1840.64      340.78     -682.73      525.64    -1172.67      362.52      -82.63     -317.95      260.64     -261.00
  793.565186         0.00    33164.30      700.88     -307.19    -1419.40    -3695.67     1707.42      315.15     -588.44      -79.23    -1268.56      343.68      -22.33     -276.12      116.76     -368.58
  793.337769         0.00    31288.15     1152.71     -197.27     -809.06    -6177.12     1257.89      485.02     -353.44      306.37    -1841.77      266.20      -74.22     -169.56      276.37     -478.48
  793.110352         0.00    30286.04     1098.46     -144.80      539.84    -4588.37     1087.10      461.76     -232.88      587.91    -1231.97      242.17     -110.04     -116.08      291.99     -278.66
  792.882935         0.00    27775.93      894.19       10.04    -1702.40    -3388.12      439.27      426.95       96.22     -146.39    -1300.15      129.17      -37.23       33.18      112.90     -396.46
  792.655579         0.00    26188.74      803.21      105.40      755.55     -898.32       85.55      380.36      308.28      391.07     -282.65       73.10     -101.36      128.17      155.03      -52.82
  792.428162         0.00    24595.36      999.75      203.91     2192.21     -841.51     -269.93      453.38      527.61      824.58      -69.94       17.57     -158.92      226.40      250.78       56.64
  792.200745         0.00    22412.99     1201.64      344.76     4375.28     -381.88     -810.19      522.07      836.29     1446.73      363.20      -70.88     -237.77      365.29      374.06      250.16
  791.973328         0.00    21896.85     1209.88      377.67     2933.00       85.31     -821.75      565.45      926.00     1013.78      213.71      -59.05     -204.63      403.16      283.50      146.59
  791.745911         0.00    21239.91     1302.63      424.23     2104.40      373.37     -875.90      636.17     1047.33      777.76      109.00      -52.98     -195.17      455.06      240.34       79.84
